DIFT Depositors Export
Generated: 7/17/2025, 6:42:50 PM
Total Depositors: 100
Individual: 73, Corporate: 27
Date Range: 2025-06-17 to 2025-07-17

ID,Name,Identifier,Depositor Type,Bank,Bank BIC,Registration Date,Formatted Date
1,Individual_1,TJKHA861117,Individual,Spitamen Bank,SPITAMJT,2025-07-17T13:26:34.285707,"Jul 17, 2025"
2,Individual_2,TJDRS705825,Individual,Tajprombank,TAJPROJT,2025-07-17T13:26:34.285709,"Jul 17, 2025"
3,Individual_3,FN536616,Individual,Orient Finans Bank,ORIENTJT,2025-07-17T13:26:34.285710,"Jul 17, 2025"
4,Company_4,TJ512654,Corporate,Tajprombank,TAJPROJT,2025-07-17T13:26:34.285710,"Jul 17, 2025"
5,Individual_5,FN793358,Individual,Tojiksodirotbank,TOJIKSJT,2025-07-17T13:26:34.285711,"Jul 17, 2025"
6,Company_6,TJ569451,Corporate,Tojiksodirotbank,TOJIKSJT,2025-07-17T13:26:34.285712,"Jul 17, 2025"
7,Company_7,TJ595616,Corporate,Eskhata Bank,ESKHATJT,2025-07-17T13:26:34.285712,"Jul 17, 2025"
8,Individual_8,FN955059,Individual,Tojiksodirotbank,TOJIKSJT,2025-07-17T13:26:34.285713,"Jul 17, 2025"
9,Individual_9,TJDUS635563,Individual,Spitamen Bank,SPITAMJT,2025-07-17T13:26:34.285713,"Jul 17, 2025"
10,Individual_10,TJDRS431599,Individual,Spitamen Bank,SPITAMJT,2025-07-17T13:26:34.285714,"Jul 17, 2025"
11,Company_11,TJ523200,Corporate,Kazkommertsbank Tajikistan,KAZKOMJT,2025-07-17T13:26:34.285714,"Jul 17, 2025"
12,Individual_12,TJGBA111276,Individual,Kazkommertsbank Tajikistan,KAZKOMJT,2025-07-17T13:26:34.285715,"Jul 17, 2025"
13,Individual_13,FN119121,Individual,Fononbank,FONONBJT,2025-07-17T13:26:34.285715,"Jul 17, 2025"
14,Individual_14,FN626529,Individual,Orient Finans Bank,ORIENTJT,2025-07-17T13:26:34.285716,"Jul 17, 2025"
15,Company_15,TJ566453,Corporate,Fononbank,FONONBJT,2025-07-17T13:26:34.285716,"Jul 17, 2025"
16,Individual_16,TJDRS947079,Individual,Amonatbank,AMONATJT,2025-07-17T13:26:34.285717,"Jul 17, 2025"
17,Individual_17,TJGBA964232,Individual,Amonatbank,AMONATJT,2025-07-17T13:26:34.285717,"Jul 17, 2025"
18,Individual_18,TJDUS263247,Individual,Kazkommertsbank Tajikistan,KAZKOMJT,2025-07-17T13:26:34.285718,"Jul 17, 2025"
19,Individual_19,FN507037,Individual,Orient Finans Bank,ORIENTJT,2025-07-17T13:26:34.285718,"Jul 17, 2025"
20,Individual_20,TJGBA928701,Individual,Kazkommertsbank Tajikistan,KAZKOMJT,2025-07-17T13:26:34.285719,"Jul 17, 2025"
21,Company_21,TJ569448,Corporate,Eskhata Bank,ESKHATJT,2025-07-17T13:26:34.285720,"Jul 17, 2025"
22,Individual_22,TJSUG506416,Individual,Orient Finans Bank,ORIENTJT,2025-07-17T13:26:34.285720,"Jul 17, 2025"
23,Individual_23,FN569337,Individual,Fononbank,FONONBJT,2025-07-17T13:26:34.285721,"Jul 17, 2025"
24,Individual_24,TJDUS642234,Individual,Tajprombank,TAJPROJT,2025-07-17T13:26:34.285721,"Jul 17, 2025"
